PostID,CommentTime,CommenterID,CommentContent
3581,2018-03-16T14:21:00Z,339,Wel delen toch?
3580,2018-03-16T14:05:04Z,217,Knap emoji smiling face with heart-eyes
3578,2018-03-16T18:35:23Z,397,Sleepy baby emoji smiling face with heart-eyes emoji smiling face with heart-eyes emoji smiling face with heart-eyes
3555,2018-03-16T00:15:35Z,268,Hahahahahaha
3554,2018-03-16T07:57:50Z,445,@steven @mike @lara @marieke
3549,2018-03-15T23:17:56Z,195,Neem mij mee pls
3534,2018-03-15T11:29:29Z,181,emoji face with tears of joy
3535,2018-03-15T13:50:09Z,397,emoji smiling face with heart-eyes emoji smiling face with heart-eyes emoji smiling face with heart-eyes emoji smiling face with heart-eyes
3536,2018-03-15T12:59:09Z,151,Hahaha
3537,2018-03-15T14:22:19Z,394,Jaaaa zin in!
3528,2018-03-15T11:19:19Z,312,Gefeliciteerd!
3516,2018-03-14T23:11:59Z,229,Tof!
3523,2018-03-15T12:50:02Z,268,@ElineCalma ga je mee?
3505,2018-03-15T07:37:55Z,365,:(
3206,2018-03-14T13:42:54Z,139,@paula
3092,2018-03-14T15:31:35Z,195,Cooool
3110,2018-03-14T12:51:53Z,229,Wat jammer.. ben te jong
3405,2018-03-14T13:19:54Z,353,Jij bent echt raar
3382,2018-03-14T13:12:19Z,389,Wie is er jarig
3513,2018-03-17T09:16:23Z,468,Goed tam!
3220,2018-03-14T13:31:04Z,365,emoji thumbs up
2809,2018-03-14T13:56:16Z,366,emoji face with tears of joy
3687,2018-03-19T20:48:09Z,451,Haha lol
3685,2018-03-19T15:55:43Z,179,Ik ben ook benieuwd
3655,2018-03-18T18:34:28Z,179,@liselottetieman hahaha
3648,2018-03-18T21:47:53Z,332,Sick @bentebruinsel
3645,2018-03-18T12:45:02Z,460,Gekke boel
3638,2018-03-19T11:59:57Z,308,Yessss 1/2
3626,2018-03-17T23:20:51Z,195,Wauw van wie zijn die mooie wenkbrauwen?
3616,2018-03-17T22:10:51Z,451,Goed verhaal!
3595,2018-03-17T12:45:26Z,316,Hahahaha ah
3593,2018-03-21T08:27:04Z,126,Gefeliciteerd he emoji smiling face with heart-eyes
3586,2018-03-16T19:24:41Z,268,Vind ik ook
3620,2018-03-19T13:33:50Z,374,emoji red heart
3797,2018-03-24T14:56:16Z,227,omg dit ja #trustissues
3779,2018-03-22T09:19:38Z,266,Thanks Laura!
3776,2018-03-22T13:11:46Z,231,@Lily
3777,2018-03-22T07:32:23Z,365,emoji smiling face with heart-eyes
