PostID,LikerID
3581,339
3584,217
3580,217
3578,360
3555,333
3554,354
3552,467
3550,431
3549,350
3547,218
3534,302
3535,302
3536,141
3537,304
3575,368
3528,352
3532,437
3544,287
3516,255
3518,305
3523,128
3514,222
3505,208
3206,276
3092,453
3110,136
3405,287
3382,366
3508,400
3394,340
3539,287
3289,218
3513,136
3220,305
3014,205
2809,315
3687,178
3685,205
3683,136
3682,308
3679,319
3680,229
3677,229
3678,222
3656,326
3719,136
3655,217
3654,305
3651,387
3652,266
3650,227
3648,322
3645,136
3643,305
3638,305
3632,305
3626,218
3625,413
3624,338
3621,449
3622,449
3618,297
3617,451
3616,180
3657,226
3611,287
3594,178
3595,304
3593,124
3592,287
3606,432
3586,231
3620,458
3797,212
3798,212
3802,315
3795,178
3796,254
3779,432
3775,218
3776,114
3774,305
3777,210
3778,178
3773,124
3772,394
3771,468
3769,218
3770,305
3768,378
3766,308
3765,139
3799,136
3747,164
3744,371
3745,218
3742,231
3743,218
3746,218
3739,222
3740,152
3737,218
3738,218
3733,270
3736,307
3730,336
3732,355
3731,178
3727,447
3726,169
3728,387
3725,447
3722,324
3723,439
3721,152
3716,287
3718,278
3717,231
3695,378
3696,378
3698,413
3694,309
3868,193
3867,178
3866,136
3865,114
3863,413
3862,178
3871,178
3860,398
3886,178
3887,178
3888,178
3845,453
3843,305
3840,184
3872,178
3861,462
3835,136
3833,305
3827,383
3830,297
3829,395
3824,178
3826,366
3808,220
3806,383
3807,218
3804,447
3803,296
3801,151
3963,416
3965,254
3962,218
3948,453
3950,447
3944,218
3943,128
3945,231
3946,359
3938,218
3939,222
3941,453
3942,186
3940,218
3937,180
3932,178
3933,439
3930,453
3931,453
3929,359
3928,394
3936,355
3923,177
3926,385
3927,178
3924,265
3922,307
3921,136
3925,296
3920,231
3919,178
3918,178
3903,179
3910,395
3904,265
3902,136
3900,432
3897,164
3895,351
3896,178
3990,218
3989,178
3988,261
3973,218
3999,231
3970,199
3969,178
3966,218
3971,178
3972,199
3967,205
3968,308
3964,378
4142,128
4141,229
4112,406
4111,178
4108,205
4109,447
4110,300
4144,359
4105,333
4107,128
4094,156
4087,136
4092,355
4071,385
4069,431
4057,237
4050,178
4053,431
4037,178
4033,447
4032,178
4029,188
4031,164
4030,354
4068,415
4028,284
4019,150
4000,136
4005,305
3998,432
3997,171
3996,178
3994,205
3995,159
3993,178
4202,222
4187,164
4188,453
4189,217
4190,287
4186,178
4185,178
4184,178
4182,218
4181,178
4173,306
4169,178
4183,205
4167,222
4168,308
4165,193
4166,313
4163,281
4162,218
4161,293
4164,349
4160,178
4159,417
4158,178
4157,178
4191,449
4147,315
4146,178
4145,178
4143,205
4244,251
4237,305
4236,305
4235,287
4234,200
4232,305
4233,305
4231,453
4230,178
4229,231
4225,394
4227,178
4228,178
4226,349
4224,359
4217,125
4216,319
4213,305
4212,305
4211,305
4214,218
4210,218
4209,218
4207,163
4208,178
4547,178
4546,178
4534,388
4531,178
4530,218
4276,221
4532,217
4274,178
4275,178
4273,178
4270,366
4267,178
4268,218
4269,437
4266,178
4258,338
4256,119
4254,449
4246,178
4247,307
4250,178
4244,228
4251,178
4249,178
4253,208
4590,159
4585,250
4581,188
4577,136
4576,178
4575,178
4574,178
4573,395
4567,453
4559,178
4557,139
4555,178
4556,178
4554,394
4553,195
4552,395
4551,392
4548,427
4549,136
4655,312
4654,305
4652,468
4647,287
4643,366
4639,453
4638,217
4637,281
4635,136
4636,136
4632,204
4634,217
4633,305
4628,308
4629,305
4630,305
4626,218
4627,178
4624,178
4625,178
4623,178
4622,178
4611,178
4607,218
4608,173
4610,178
4606,304
4601,178
4603,417
4598,364
4599,302
4597,218
4600,178
4596,222
4595,449
4593,449
4592,378
4594,431
4743,178
4742,458
4740,164
4739,287
4741,304
4738,178
4731,178
4732,389
4725,178
4724,297
4723,300
4722,296
4719,418
4714,218
4706,339
4705,139
4704,270
4703,208
4702,139
4701,218
4700,297
4688,453
4689,336
4687,218
4686,178
4685,447
4683,112
4682,218
4681,178
4679,266
4680,202
4678,305
4684,395
4665,178
4831,195
4821,244
4820,126
4819,412
4818,222
4817,222
4815,395
4814,395
4813,200
4810,458
4809,178
4811,178
4807,178
4806,218
4801,218
4802,218
4803,222
4799,415
4800,221
4792,178
4788,218
4786,178
4783,218
4782,338
4780,178
4781,124
4784,366
4778,307
4779,107
4775,305
4776,305
4777,178
4761,178
4756,192
4755,349
4754,247
4901,453
4899,349
4897,398
4896,178
4895,325
4893,178
4894,178
4891,178
4890,178
4889,178
4887,199
4886,178
4884,108
4885,420
4888,178
4874,178
4872,178
4898,217
4875,178
4892,178
4871,178
4873,178
4870,302
4868,392
4869,302
4862,418
4864,254
4867,178
4856,178
4859,178
4854,178
4852,437
4853,178
4850,114
4851,398
4849,305
4838,349
4835,367
4836,305
4833,178
4837,178
4931,395
4930,196
4927,217
4924,217
4919,178
4916,178
4917,178
4918,195
4915,178
4914,218
4953,229
4952,229
4951,229
4943,231
4939,469
4938,417
4940,325
4936,297
4937,125
4933,202
4934,178
4932,178
4910,178
4911,178
3581,143
3584,304
3580,366
3578,249
3555,268
3554,402
3552,355
3550,287
3549,202
3547,287
3534,351
3535,318
3536,164
3537,332
3575,355
3528,351
3532,461
3544,366
3516,371
3518,205
3523,231
3514,276
3505,400
3206,231
3092,205
3110,307
3405,385
3382,345
3508,208
3394,355
3539,410
3289,327
3513,350
3220,451
3014,355
2809,339
3687,136
3685,437
3683,282
3682,412
3679,297
3677,237
3678,394
3656,297
3655,208
3654,394
3651,303
3650,218
3648,449
3645,231
3643,195
3638,159
3632,282
3626,260
3625,179
3624,195
3621,228
3622,181
3618,308
3617,417
3616,304
3657,267
3611,297
3594,451
3595,164
3593,136
3592,136
3606,349
3586,460
3620,178
3797,231
3798,258
3802,427
3795,394
3796,401
3779,339
3775,307
3776,193
3774,308
3777,420
3778,287
3773,125
3772,297
3771,151
3769,305
3770,164
3768,377
3766,130
3765,378
3799,208
3747,394
3744,271
3745,413
3742,282
3743,366
3746,307
3739,413
3740,395
3737,164
3738,222
3733,365
3736,226
3730,227
3732,297
3731,218
3727,305
3726,305
3728,128
3725,397
3722,439
3723,377
3721,447
3716,136
3718,312
3717,460
3695,221
3696,443
3698,366
3694,178
3868,188
3867,136
3866,313
3865,351
3863,395
3862,136
3871,389
3860,218
3886,366
3887,287
3888,218
3845,130
3843,231
3840,307
3872,296
3861,351
3835,313
3833,159
3827,268
3830,267
3829,267
3824,338
3826,468
3808,378
3806,417
3807,136
3804,287
3803,221
3963,454
3965,394
3962,164
3948,359
3950,453
3944,305
3943,169
3945,296
3946,355
3938,217
3939,305
3941,359
3942,447
3940,417
3937,378
3932,218
3933,178
3930,231
3931,359
3929,395
3926,124
3927,287
3922,205
3921,395
3925,439
3920,150
3919,136
3918,164
3903,106
3910,462
3904,138
3902,124
3900,115
3897,394
3895,334
3896,136
3990,313
3989,305
3988,126
3973,305
3999,415
3970,356
3969,305
3966,169
3971,287
3972,258
3967,308
3968,283
3964,315
4142,178
4141,136
4112,389
4111,164
4108,112
4109,164
4110,203
4144,312
4105,136
4107,212
4094,229
4087,305
4092,450
4071,437
4069,364
4057,328
4050,136
4053,364
4037,447
4033,205
4032,410
4029,191
4031,305
4030,336
4068,308
4028,307
4019,195
4000,124
4005,415
3998,233
3997,380
3996,305
3994,204
3995,205
3993,159
4187,394
4188,394
4189,313
4190,313
4186,383
4185,313
4184,281
4182,287
4181,296
4173,417
4169,218
4183,207
4167,308
4168,417
4165,321
4166,315
4163,378
4162,281
4161,212
4164,199
4160,431
4159,373
4158,218
4157,164
4191,209
4147,350
4146,136
4145,164
4143,195
4244,227
4237,447
4236,229
4235,394
4234,268
4232,308
4233,125
4231,359
4230,287
4229,453
4225,195
4227,287
4228,244
4226,223
4224,454
4217,287
4216,366
4213,204
4212,395
4211,394
4214,178
4210,178
4209,437
4208,226
4547,136
4546,298
4534,218
4531,164
4530,217
4276,218
4532,205
4274,458
4275,226
4273,431
4270,306
4267,287
4268,178
4269,338
4266,287
4258,388
4246,164
4247,359
4250,217
4244,417
4251,297
4249,107
4253,227
4590,403
4585,135
4581,256
4577,296
4576,394
4575,394
4574,458
4573,365
4567,418
4559,231
4557,330
4555,394
4556,164
4553,204
4552,366
4551,229
4549,175
4647,385
4643,468
4639,217
4638,231
4637,453
4635,287
4636,281
4632,196
4634,415
4633,217
4628,120
4629,217
4630,354
4626,178
4627,136
4624,307
4625,212
4623,296
4622,415
4611,395
4607,288
4608,178
4610,125
4606,394
4601,117
4603,325
4598,304
4599,354
4597,296
4600,366
4596,117
4595,394
4593,304
4592,431
4594,178
4743,164
4742,217
4740,417
4739,233
4741,199
4738,458
4731,247
4732,439
4725,305
4724,468
4723,373
4722,394
4719,417
4714,124
4706,371
4705,208
4704,417
4703,139
4702,400
4701,178
4700,193
4688,395
4689,107
4687,178
4686,305
4685,188
4683,188
4682,217
4681,458
4679,131
4680,349
4678,304
4684,394
4665,186
4831,417
4821,420
4820,432
4819,449
4818,395
4817,340
4815,111
4814,366
4810,218
4809,322
4811,287
4807,217
4806,178
4801,178
4802,178
4803,312
4799,445
4800,449
4792,453
4788,231
4786,231
4783,217
4782,270
4780,287
4781,139
4784,371
4778,325
4779,210
4775,307
4776,231
4777,385
4761,313
4756,260
4755,191
4754,106
4901,193
4899,304
4897,299
4896,394
4895,191
4893,262
4894,217
4891,218
4890,217
4889,218
4887,126
