UserID,Reward,Android,Android_other,Age,Gender,Educ,Educ_other,Educ_year,Educ_year_other,Nation,Nation_other,Nation_year,Nation_Mom,Nation_Mom_other,Nation_Dad,Nation_Dad_Other,GroupMember_1,GroupMember_2,GroupMember_3,GroupMember_4,GroupMember_5,GroupMember_6,GroupMember_7,GroupMember_8,GroupMember_9,GroupMember_10,GroupMember_11,GroupMember_12,GroupMember_13,GroupMember_14,GroupMember_15,GroupMember_16,GroupMember_17,GroupMember_18,GroupMember_19,GroupMember_20,Group_type,Group_type_other,Group_familiar,Group_close,GroupMember_1_Long,GroupMember_1_Familiar,GroupMember_1_GoodFriend,GroupMember_1_Contact,GroupMember_2_Long,GroupMember_2_Familiar,GroupMember_2_GoodFriend,GroupMember_2_Contact,GroupMember_3_Long,GroupMember_3_Familiar,GroupMember_3_GoodFriend,GroupMember_3_Contact,GroupMember_4_Long,GroupMember_4_Familiar,GroupMember_4_GoodFriend,GroupMember_4_Contact,GroupMember_5_Long,GroupMember_5_Familiar,GroupMember_5_GoodFriend,GroupMember_5_Contact,GroupMember_6_Long,GroupMember_6_Familiar,GroupMember_6_GoodFriend,GroupMember_6_Contact,GroupMember_7_Long,GroupMember_7_Familiar,GroupMember_7_GoodFriend,GroupMember_7_Contact,GroupMember_8_Long,GroupMember_8_Familiar,GroupMember_8_GoodFriend,GroupMember_8_Contact,GroupMember_9_Long,GroupMember_9_Familiar,GroupMember_9_GoodFriend,GroupMember_9_Contact,GroupMember_10_Long,GroupMember_10_Familiar,GroupMember_10_GoodFriend,GroupMember_10_Contact,GroupMember_11_Long,GroupMember_11_Familiar,GroupMember_11_GoodFriend,GroupMember_11_Contact,GroupMember_12_Long,GroupMember_12_Familiar,GroupMember_12_GoodFriend,GroupMember_12_Contact,GroupMember_13_Long,GroupMember_13_Familiar,GroupMember_13_GoodFriend,GroupMember_13_Contact,GroupMember_14_Long,GroupMember_14_Familiar,GroupMember_14_GoodFriend,GroupMember_14_Contact,GroupMember_15_Long,GroupMember_15_Familiar,GroupMember_15_GoodFriend,GroupMember_15_Contact,GroupMember_16_Long,GroupMember_16_Familiar,GroupMember_16_GoodFriend,GroupMember_16_Contact,GroupMember_17_Long,GroupMember_17_Familiar,GroupMember_17_GoodFriend,GroupMember_17_Contact,GroupMember_18_Long,GroupMember_18_Familiar,GroupMember_18_GoodFriend,GroupMember_18_Contact,GroupMember_19_Long,GroupMember_19_Familiar,GroupMember_19_GoodFriend,GroupMember_19_Contact,GroupMember_20_Long,GroupMember_20_Familiar,GroupMember_20_GoodFriend,GroupMember_20_Contact,GroupMember_1_Commun,GroupMember_2_Commun,GroupMember_3_Commun,GroupMember_4_Commun,GroupMember_5_Commun,GroupMember_6_Commun,GroupMember_7_Commun,GroupMember_8_Commun,GroupMember_9_Commun,GroupMember_10_Commun,GroupMember_11_Commun,GroupMember_12_Commun,GroupMember_13_Commun,GroupMember_14_Commun,GroupMember_15_Commun,GroupMember_16_Commun,GroupMember_17_Commun,GroupMember_18_Commun,GroupMember_19_Commun,GroupMember_20_Commun,GroupMember_1_Commun_Import,GroupMember_2_Commun_Import,GroupMember_3_Commun_Import,GroupMember_4_Commun_Import,GroupMember_5_Commun_Import,GroupMember_6_Commun_Import,GroupMember_7_Commun_Import,GroupMember_8_Commun_Import,GroupMember_9_Commun_Import,GroupMember_10_Commun_Import,GroupMember_11_Commun_Import,GroupMember_12_Commun_Import,GroupMember_13_Commun_Import,GroupMember_14_Commun_Import,GroupMember_15_Commun_Import,GroupMember_16_Commun_Import,GroupMember_17_Commun_Import,GroupMember_18_Commun_Import,GroupMember_19_Commun_Import,GroupMember_20_Commun_Import,GroupMember_1_Rangorde,GroupMember_2_Rangorde,GroupMember_3_Rangorde,GroupMember_4_Rangorde,GroupMember_5_Rangorde,GroupMember_6_Rangorde,GroupMember_7_Rangorde,GroupMember_8_Rangorde,GroupMember_9_Rangorde,GroupMember_10_Rangorde,GroupMember_11_Rangorde,GroupMember_12_Rangorde,GroupMember_13_Rangorde,GroupMember_14_Rangorde,GroupMember_15_Rangorde,GroupMember_16_Rangorde,GroupMember_17_Rangorde,GroupMember_18_Rangorde,GroupMember_19_Rangorde,GroupMember_20_Rangorde,Alc_Freq_Normal,NoAlc_reason1,NoAlc_reason2,NoAlc_reason3,NoAlc_reason4,NoAlc_reason5,NoAlc_reason6,NoAlc_reason_other,Alc_Freq_Past_Month,Binge_Freq_Past_Month,Alc_Quantity_Normal,Alc_Alone_Others,DMQ_1,DMQ_2,DMQ_3,DMQ_4,DMQ_5,DMQ_6,DMQ_7,DMQ_8,DMQ_9,DMQ_10,DMQ_11,DMQ_12,Alc_Att1,Alc_Att2,Alc_Att3,Alc_Att4,Alc_Att5,Alc_Att6,Alc_IN1,Alc_IN2,Alc_IN3,Alc_DN,Alc_Int1,Alc_Int2,Alc_Ass1,Alc_Ass2,Alc_Ass3,Alc_Ass4,Alc_Ass5,Alc_Ass6,Alc_Ass7,Alc_Ass8,Alc_Ass9,Alc_Ass10,Alc_Ass11,Alc_Ass12,Alc_Ass13,Alc_Ass14,Alc_Ass15,Proto_1,Proto_2,Proto_3,Proto_4,Proto_5,Proto_6,Proto_7,Proto_Like_Me,Sport_Freq_Past_Year,Sport_Quant_Normal,Sport_Alone_Other,Sport_Att1,Sport_Att2,Sport_IN1,Sport_IN2,Sport_DN,Sport_Int1,Sport_Int2,Snack_Freq_Past_Year,Snack_Quant_Normal,Snack_Alone_Other,Snack_Att1,Snack_Att2,Snack_IN1,Snack_IN2,Snack_DN,Snack_Int1,Snack_Int2,NFP_1,NFP_2,NFP_3,NFP_4,NFP_5,NFP_6,NFP_7,Lonely_1,Lonely_2,Lonely_3,Lonely_4,Lonely_5,Lonely_6,Lonely_7,Lonely_8,Big5_1,Big5_2,Big5_3,Big5_4,Big5_5,Big5_6,Big5_7,Big5_8,Big5_9,Big5_10,Big5_11,Big5_12,SNSID_1,SNSID_2,SNSID_3
106,1,2,NA,21,1,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,111,107,108,418,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,7,7,7,7,6,7,7,7,7,7,6,6,6,7,7,7,7,7,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8. at least once a day,NA,NA,NA,NA,NA,NA,NA,8,4,5,2,2,2,1,1,1,1,1,1,1,1,1,1,5,5,4,3,4,4,4,4,4,4,4,1,1,3,4,2,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,1,6,7,1,7,7,7,7,5,6,6,1,NA,NA,4,4,4,4,4,2,1,5,6,5,5,2,1,1,5,1,5,5,1,1,1,5,2,1,1,4,1,5,4,1,5,1,5,5,3,1,6
107,1,1,NA,21,1,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,106,111,110,108,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,7,7,7,7,6,7,6,6,6,7,6,6,5,7,6,6,7,7,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5. twice a week,NA,NA,NA,NA,NA,NA,NA,5,4,2,2,5,4,4,2,2,5,4,4,3,2,2,4,6,5,2,2,5,4,4,3,4,3,7,3,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,1,3,4,2,2,2,3,3,6,2,6,7,6,7,2,7,7,5,1,1,2,2,2,3,5,2,1,5,5,3,4,1,1,1,5,1,4,5,1,1,1,4,2,3,2,3,1,4,4,2,4,2,5,3,5,4,5
108,1,2,NA,21,1,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,106,107,418,110,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,6,6,5,6,4,6,7,6,5,7,7,7,6,7,6,5,4,7,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5. twice a week,NA,NA,NA,NA,NA,NA,NA,5,8,3,2,4,4,4,2,2,1,1,2,2,3,1,5,4,4,3,3,4,4,5,4,6,5,5,2,3,5,5,4,2,4,3,4,2,4,2,1,1,2,2,4,4,4,4,5,2,3,4,3,5,3,7,6,7,7,6,6,6,6,2,3,3,4,3,6,3,2,1,3,3,4,6,4,5,3,4,4,2,5,4,2,2,4,2,4,5,4,4,1,4,3,2,5,4,2,2,1,2
418,1,1,NA,21,1,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,106,107,108,110,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8. at least once a day,NA,NA,NA,NA,NA,NA,NA,8,8,7,2,3,5,4,1,1,1,1,1,1,1,1,5,6,6,5,4,4,4,5,5,7,6,7,6,3,4,5,2,4,4,1,3,1,3,2,5,1,2,3,4,3,3,3,3,2,2,5,5,7,2,7,7,7,7,4,7,6,9,2,3,4,4,4,4,4,4,4,2,5,2,5,2,1,1,5,1,5,5,1,1,1,5,2,1,2,5,1,3,5,2,3,2,5,4,1,1,4
110,1,1,NA,21,1,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,107,108,106,111,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,6,5,6,6,6,7,7,6,5,5,6,6,5,7,6,6,5,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. 2-3 per month,NA,NA,NA,NA,NA,NA,NA,3,3,7,2,5,5,5,1,1,4,4,5,5,4,1,5,6,6,2,2,4,4,5,5,5,4,2,1,5,5,5,5,5,4,2,4,3,4,2,2,2,3,4,5,4,5,4,3,2,2,3,8,7,2,7,7,7,7,5,7,7,12,1,1,1,1,2,5,4,1,1,5,3,5,2,2,5,1,3,4,2,5,2,2,4,2,2,1,4,1,4,2,2,5,5,5,1,1,2,2,4
111,1,2,NA,21,1,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,107,106,108,418,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8. at least once a day,NA,NA,NA,NA,NA,NA,NA,8,8,6,2,3,5,5,1,1,1,1,2,1,3,2,4,5,5,4,4,4,3,5,4,7,5,6,4,2,4,4,2,2,4,1,3,1,3,3,3,2,2,3,1,1,1,1,1,1,1,3,4,7,2,6,5,4,7,4,3,5,4,1,3,4,4,4,7,4,5,4,2,2,5,2,1,2,1,5,2,5,5,1,1,1,4,3,1,2,4,2,4,4,2,5,3,2,2,2,1,1
112,1,2,NA,19,2,1,NA,2,NA,6,Polen,2001,6,Polen,6,Polen,469,114,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,5,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5. twice a week,NA,NA,NA,NA,NA,NA,NA,6,5,4,2,3,4,4,1,1,1,1,1,1,4,4,5,6,6,4,5,4,4,6,5,5,4,7,5,4,4,4,4,1,3,1,1,1,4,1,2,1,1,1,5,5,1,5,5,1,2,3,1,NA,NA,7,7,7,7,5,6,5,7,1,3,2,2,5,7,4,2,2,5,1,1,6,1,2,1,5,1,5,5,1,1,1,5,2,4,4,4,3,2,5,2,4,2,5,3,1,2,4
469,1,1,NA,18,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,112,114,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,6,4,6,5,5,5,6,6,6,4,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8. at least once a day,NA,NA,NA,NA,NA,NA,NA,8,3,4,2,2,3,3,1,1,1,1,1,1,3,1,5,6,6,3,4,4,4,4,5,7,4,6,4,2,2,4,2,2,2,2,2,2,4,3,3,2,3,3,1,2,1,1,3,2,1,4,5,7,2,7,7,7,7,4,5,6,5,1,3,3,3,3,4,4,2,2,1,1,1,1,1,1,1,5,1,4,4,2,1,2,4,1,2,4,4,1,2,4,1,2,1,4,3,2,1,3
114,1,2,NA,19,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,115,112,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,6,5,5,4,4,7,7,7,6,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4. once a week,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,2,4,3,1,2,1,1,1,1,4,1,4,6,2,5,3,4,4,3,4,5,5,5,2,3,3,4,3,3,4,2,3,2,4,3,2,1,2,1,2,2,3,3,3,2,3,4,5,7,3,7,1,7,7,6,7,7,10,3,3,2,2,2,2,4,2,2,1,1,1,1,1,1,1,4,1,5,4,1,1,1,5,4,1,2,5,1,4,3,2,3,2,4,2,4,4,5
115,1,2,NA,20,2,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,114,112,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,5,4,5,4,3,4,5,4,4,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. never,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,1,3,4,2,2,1,1,1,1,3,2,1,3,3,2,1,2,1,1,2,2,3,3,2,2,4,3,4,2,1,5,7,1,7,7,7,7,4,2,1,4,2,3,3,3,3,4,4,4,2,2,2,2,4,3,4,4,4,4,3,3,2,3,3,4,2,3,3,4,2,2,5,1,3,2,5,4,4,3,4
